"Key","Issue Type","Parent","Summary","Status","Assignee","Sprint","Start date","Inferred start date","Due date","Inferred due date","Issue color"
"AGILE-45","Story","AGILE-40","As an admin, I want to see which help articles are most frequently accessed so that I can improve the content based on demand.

","To Do","","","","","","","purple"
"AGILE-46","Story","AGILE-40","As a system, I want to recommend help articles based on where the user is in the training so that support is context-aware","To Do","","","","","","","purple"
"AGILE-47","Story","AGILE-40","As a user, I want to submit feedback on help articles so that unclear content can be improved.

","To Do","","","","","","","purple"
"AGILE-48","Story","AGILE-40","As a training manager, I want to monitor help requests to identify recurring problems and adjust training content","To Do","","","","","","","purple"
"AGILE-49","Story","AGILE-40","As a user, I want to contact support if my issue isn’t resolved through help content so that I can get personal assistance","To Do","","","","","","","purple"
"AGILE-50","Story","AGILE-40","As an admin, I want to manage help content in a CMS-style interface so that I can update support material easily","To Do","","","","","","","purple"
"AGILE-51","Epic","","Epic 1 - Develop and Deliver Cybersecurity Assessment Tests","To Do","","","","","","","purple"
"AGILE-52","Story","AGILE-51","As an admin, I want to create cybersecurity assessment templates so that I can reuse standard tests across departments.","To Do","","","","","","","purple"
"AGILE-53","Story","AGILE-51","As an admin, I want to customize questions based on departments (e.g., finance, IT, HR) so that the test content is relevant to each employee's role.","To Do","","","","","","","purple"
"AGILE-54","Story","AGILE-51","As a security officer, I want to define difficulty levels (e.g., basic, intermediate, advanced) for each test so that assessments can be aligned with user experience levels.","To Do","","","","","","","purple"
"AGILE-55","Story","AGILE-51","As an admin, I want to schedule assessments to be delivered automatically at regular intervals so that employees are tested periodically without manual effort.","To Do","","","","","","","purple"
"AGILE-56","Story","AGILE-51","As an employee, I want to be notified via email when a new cybersecurity test is available so that I can complete it on time.","To Do","","","","","","","purple"
"AGILE-57","Story","AGILE-51","As an employee, I want to access the test securely from my company dashboard so that I can take the assessment without logging in separately.","To Do","","","","","","","purple"
"AGILE-58","Story","AGILE-51","As an employee, I want to receive immediate feedback on which questions I answered correctly or incorrectly so that I can learn from my mistakes.","To Do","","","","","","","purple"
"AGILE-59","Story","AGILE-51","As an admin, I want to randomize the question order for each test so that employees receive unique test versions and reduce cheating.","To Do","","","","","","","purple"
"AGILE-60","Story","AGILE-51","As a security officer, I want to include multimedia questions (e.g., phishing email examples, suspicious links) so that assessments simulate real-world scenarios.","To Do","","","","","","","purple"
"AGILE-63","Story","AGILE-51","As a security officer, I want to track and analyze assessment results across departments so that I can identify knowledge gaps and improve future training.","To Do","","","","","","","purple"
"AGILE-61","Epic","","Epic 2 - Monitor, Report, and Improve Employee Cybersecurity Awareness","To Do","","","","","","","purple"
"AGILE-65","Story","AGILE-61","As a security officer, I want to generate reports on common knowledge gaps so that training materials can be adjusted accordingly.","To Do","","","","","","","purple"
"AGILE-66","Story","AGILE-61","As a manager, I want to see individual and team performance trends over time so that I can assess cybersecurity awareness progress.","To Do","","","","","","","purple"
"AGILE-67","Story","AGILE-61","As an admin, I want to set performance benchmarks (e.g., 80% passing score) so that I can flag employees who need additional training.","To Do","","","","","","","purple"
"AGILE-68","Task","AGILE-61","As a compliance officer, I want to export assessment results for audits so that I can prove employee participation in mandatory security training.","To Do","","","","","","","purple"
"AGILE-69","Task","AGILE-61","As an admin, I want to send reminders to employees who haven’t completed the test so that overall compliance rates improve.","To Do","","","","","","","purple"
"AGILE-70","Task","AGILE-61","As a security officer, I want to compare assessment scores before and after awareness campaigns so that I can measure campaign effectiveness.","To Do","","","","","","","purple"
"AGILE-71","Task","AGILE-61","As an employee, I want to access my past test scores and feedback so that I can track my own improvement.","To Do","","","","","","","purple"
"AGILE-72","Story","AGILE-61","As a training manager, I want to assign follow-up modules to employees who fail certain topics so that I can address knowledge gaps efficiently.","To Do","","","","","","","purple"
"AGILE-73","Story","AGILE-61","As a compliance officer, I want to schedule recurring awareness evaluations so that continuous monitoring aligns with regulatory requirements.","To Do","","","","","","","purple"
